fips,city,primary_industry_gdp_share_pct,secondary_industry_gdp_share_pct,gdp_per_capita_cny,registered_population_10k,cov_distance
64,深圳,-2.4079456086518722,3.672894087332555,12.126701350839866,6.2645154055092735,2.8537985896396094
17,合肥,1.197638444375461,3.671606165048736,11.578878086709498,6.645170709316538,4.089616874476968
85,贵阳,1.39740764664337,3.60535397036631,11.261747615525074,6.056512522439224,4.7387954711124305
95,镇江,1.2384787622461204,3.8759463615969736,11.767518938611113,5.598644284874416,5.122991279739788
4,中山,0.6775053312671278,3.894847749224989,11.42351553828409,5.210209683316994,5.1249137080239935
77,芜湖,1.4184678553950847,3.9025159342954807,11.462717781782521,5.964487537946833,5.228194197908973
61,泰,1.7306194877350107,3.8763810523784072,11.629938417081314,6.215670593358873,5.313995563960836
38,惠,1.5604660046104808,3.947148326864544,11.300459179536976,5.9638274433214375,5.581479248515823
81,莆田,1.5902863221559658,3.960185480145223,11.326717323676936,5.89444803236518,5.666259338133692
101,马鞍山,1.5052130618073616,3.916064610951669,11.410859646544148,5.433082621864042,5.737325077988479
62,海口,1.455983524448353,2.812714546218514,11.117307348321358,5.224939025341012,5.896197003108709
8,九江,1.9385510887901638,3.8876987782724646,11.04011038813548,6.2612111434659585,5.924715378051018
51,柳,1.931733107911443,3.9111750740488933,11.247499347201398,5.9738527997813335,5.935262559196194
70,焦作,1.7999548422245193,3.9294158853010477,11.126883778319336,5.92118604264762,5.947124866123354
57,江门,2.05298130507695,3.794576503065302,11.09868785552297,5.991673973221231,5.9561308145479455
29,岳阳,2.323039587598204,3.711363158115519,11.107377550406484,6.3429552292543745,5.992155805393841
25,宜昌,2.2827931028657016,3.8551019241254627,11.547149426938029,5.968486768685086,6.081296113232598
67,漳,2.3720856533731802,3.858532033820559,11.35765921824626,6.258107885488959,6.152673869799454
91,郴,2.2736832533540117,3.7055134993072008,10.848742283369575,6.279134099733647,6.189741936434966
83,衡阳,2.4481216860935717,3.4962194188476694,10.747429907098722,6.680415137133707,6.191769511201588
