year_week,pm25_obs,pm25_cf,att,period
201801,50.3967920503969,51.438072,-1.0412801541929468,pre
201802,49.362767003611886,48.87577,0.4869964347642295,pre
201803,68.93510007506877,69.292534,-0.3574337994429442,pre
201804,59.25415822704635,61.39166,-2.137500555912638,pre
201805,90.46455307610688,86.05187,4.4126808226889125,pre
201806,46.54273251938408,49.76674,-3.224006372217481,pre
201807,30.49198419087088,30.781126,-0.2891418314679868,pre
201808,40.24515317031032,37.610897,2.6342561061013328,pre
201809,37.93399521098845,40.583893,-2.6498976112771757,pre
201810,38.334671329311405,41.294758,-2.960086513706173,pre
201811,31.881773466237423,35.427258,-3.545484071604374,pre
201812,46.18547638597032,43.777336,2.4081402653648496,pre
201813,37.39960855812402,36.355267,1.0443419870791004,pre
201814,36.73545512297183,34.25608,2.479374495530422,pre
201815,36.96834900675501,37.443226,-0.47487685384069067,pre
201816,36.76376574167752,38.397053,-1.6332870232150611,pre
201817,49.513119833548416,48.027363,1.4857570100620876,pre
201818,40.39547788488434,41.23676,-0.8412813009066724,pre
201819,46.410407879877695,41.60358,4.80682740502418,pre
201820,41.52288236701338,40.915127,0.6077555664762713,pre
201821,36.75941439801171,41.688313,-4.928898132505871,pre
201822,50.35488346231551,47.569405,2.785478860264732,pre
201823,40.80608310230573,41.48999,-0.6839071320692724,pre
201824,40.31150603663353,36.032513,4.2789933718386095,pre
201825,27.57855666824444,27.335955,0.242602002106743,pre
201826,25.469531295342616,25.94872,-0.4791896366642199,pre
201827,25.67548922902346,26.18738,-0.5118906080126742,pre
201828,24.925233372160363,25.162338,-0.2371048846755741,pre
201829,25.19147552749373,25.95968,-0.7682050297572474,pre
201830,27.76051126601533,25.078331,2.682180272362988,pre
201831,22.40005165734703,23.462057,-1.0620054563004295,pre
201832,22.455368371878,22.92407,-0.4687019863983686,pre
201833,23.06224600534472,24.074827,-1.0125811888691487,pre
201834,23.297319496833527,23.68766,-0.39034072045162915,pre
201835,23.303680266456603,21.542246,1.7614344015884384,pre
201836,28.34230447244284,21.916595,6.425709013458466,pre
201837,19.221956720479657,19.270826,-0.04886961924202282,pre
201838,20.625456634590883,21.738333,-1.1128761138222032,pre
201839,21.604418381949657,22.200745,-0.5963262469565933,pre
201840,21.651412516065296,22.459286,-0.8078732200186884,pre
201841,22.292979498509204,23.715837,-1.4228579801284909,pre
201842,24.48471601135489,24.224018,0.2606979144310628,pre
201843,32.47938335649126,32.031227,0.4481562446748555,pre
201844,28.192905376312176,29.314608,-1.121702243927082,pre
201845,30.313709156202105,27.612291,2.7014178201425345,pre
201846,32.998004641352665,32.64632,0.35168429833508696,pre
201847,43.14389622238704,42.48795,0.6559468510491513,pre
201848,52.25332453053267,56.20175,-3.948427178451702,pre
201849,44.52177407867109,46.91566,-2.3938867794832035,pre
201850,51.10553403543776,49.544724,1.560810524695576,pre
201851,43.37723243466027,42.691437,0.6857956670821466,pre
201852,47.60698744124071,43.45461,4.152378524004384,pre
201901,43.947863600468,45.142574,-1.1947107098347374,pre
201902,45.12510363513192,44.156284,0.9688193028565308,pre
201903,65.43333264853841,65.21021,0.22311994101887933,pre
201904,48.593711273538304,49.098454,-0.5047422481902117,pre
201905,40.44198501790615,40.73633,-0.2943431070938516,pre
201906,40.57635679457413,43.086147,-2.509790513775478,pre
201907,36.32899226566618,37.017822,-0.6888299999588199,pre
201908,55.5666604564347,51.56606,4.000601343885869,pre
