fips,city,primary_industry_gdp_share_pct,secondary_industry_gdp_share_pct,gdp_per_capita_cny,registered_population_10k,cov_distance
61,西宁,1.3461344106126236,3.4747868689818384,10.913647113230635,5.341718762526804,1.689180046260866
38,朔,1.7287733273696344,3.6714590829261646,11.03935306336638,5.095913764105448,1.8726290504195564
11,包头,1.2365878247731608,3.7019955840300716,11.507234637736266,5.413873952516539,1.8969976293009558
40,本溪,1.8632134549885762,3.845848643715464,10.842050280376933,4.9751021635093835,1.9541911424594658
36,抚顺,1.8317709776181763,3.9215822818039308,10.723039448434285,5.331849782906603,2.0334069061465985
52,石嘴山,1.7552133315672973,3.957011567041911,11.156565595548532,4.310783191442735,2.0669886310197203
6,乌海,0.0014232523496478123,4.139233223465971,11.462749187247702,3.7841896339182606,2.1199202260827197
79,鞍山,1.781456336861012,3.727814436459011,10.802884594466056,5.827993543221986,2.224403262625422
15,吕梁,1.5110852461443047,4.098816058102946,10.57077292433584,5.9756075365807035,2.2590932514107607
58,营口,2.0717085303427765,3.7978286122029985,10.923343649473141,5.440512055529199,2.341155600938348
74,铜川,2.0419000242144913,3.6459578806006228,10.719684586287018,4.372040232634195,2.354973599253229
63,辽源,2.14691685937903,3.5466844578104793,10.627651023479206,4.758399469437593,2.5039265108984954
51,盘锦,2.071593816300021,3.9687190244736996,11.393768710954149,4.866407215893762,2.5088100968663465
64,辽阳,2.261320440351343,3.8658720419312975,10.777975520332289,5.15854984606428,2.5123371406864647
37,晋中,2.052648598075857,3.8275542505240403,10.672931958189983,5.813073007878706,2.5376407941535164
34,忻,2.0625104174577653,3.808222137716922,10.388545195394327,5.727043748116411,2.6662064849842166
72,金昌,2.004420961979881,4.102923939654232,11.141274436495708,3.8066624897703196,2.707972203635574
26,宝鸡,2.07887996339333,4.073490658216185,11.031555397700007,5.931626306368999,2.712658900109273
49,白山,2.32073904479619,3.4732407566005876,10.775525140927613,4.760140997287875,2.7404976717603966
30,廊坊,1.8789257504140544,3.513706284679989,11.065774586675374,6.180387036252132,2.742883958054143
