fips,city,primary_industry_gdp_share_pct,secondary_industry_gdp_share_pct,gdp_per_capita_cny,registered_population_10k,cov_distance
11,六盘水,2.434026861167079,3.840523248208544,10.7448177397108,5.865322797474794,0.3971722334258643
20,孝感,2.68297524513619,3.7739800386119615,10.715260943668532,6.243080782969435,0.6028904650934482
75,自贡,2.586663339781606,3.735180421612221,10.843626707138919,5.770247476288297,0.655273657891743
72,眉山,2.7033863746393716,3.6852574320063765,10.72006155482905,5.837472232723487,0.6682313386783262
68,濮阳,2.4797142436850823,3.6996677451706477,10.702777951371163,6.074195476273244,0.692985693174221
32,广元,2.7918578661232503,3.7327681483905595,10.474946734688073,5.700838650012064,0.7062909690561398
17,吉安,2.3986690881908244,3.807347716751335,10.624396041921196,6.290371255057058,0.7174229097964833
98,随,2.6664437454191963,3.8361589061318226,10.829339570731022,5.51792382262599,0.7211797318483908
71,百色,2.9118607688751803,3.7547033210890732,10.443904822795108,6.045695675924355,0.7527693945131686
6,乐山,2.5139188722666055,3.761875026952659,10.930634369696943,5.857686064979522,0.7683503363257046
55,汕尾,2.6602156558388717,3.6712093632816645,10.480706366618211,5.876333544017577,0.824192198136329
19,咸宁,2.597923980594799,3.8025146824908544,10.969538240035956,5.719831847038223,0.8323934448223168
38,抚,2.6578156183666395,3.6594183936823304,10.539723867332455,6.069243488022585,0.8526393677385502
67,潮,2.1449765912746335,3.8776408507033637,10.622845619058921,5.619870463020961,0.8840217672675498
25,宜春,2.454552310155418,3.7544568552425686,10.750859872716049,6.403189171826486,0.9213670007485752
14,十堰,2.2082666172824537,3.798490147480788,10.932817220493208,5.8449123407372365,0.9512894749838148
23,宜宾,2.4586841243424535,3.9007786963079556,10.884788660377241,6.313017643580906,0.9714604430666052
26,宣城,2.3002441152088484,3.866096051946836,10.951283590008309,5.629634866914565,0.9996572024040488
12,内江,2.8189664033327007,3.6019461504186006,10.608452300848997,6.012920440803244,1.073253893073115
91,郴,2.2736832533540117,3.7055134993072008,10.848742283369575,6.279134099733647,1.0845233704870907
