fips,city,primary_industry_gdp_share_pct,secondary_industry_gdp_share_pct,gdp_per_capita_cny,registered_population_10k,cov_distance
11,包头,1.2365878247731608,3.7019955840300716,11.507234637736266,5.413873952516539,1.8653716354345355
46,沈阳,1.4733026550975596,3.550220815678473,11.243913878596894,6.625067044727913,2.205673674881038
62,西宁,1.3461344106126236,3.4747868689818384,10.913647113230635,5.341718762526804,2.2383686742066984
31,廊坊,1.8789257504140544,3.513706284679989,11.065774586675374,6.180387036252132,2.6498927195788555
39,朔,1.7287733273696344,3.6714590829261646,11.03935306336638,5.095913764105448,2.6795525524209896
79,鞍山,1.781456336861012,3.727814436459011,10.802884594466056,5.827993543221986,2.7096192985464986
71,鄂尔多斯,1.2339727564274974,4.017974738539827,12.063189209982493,5.0964164503250045,2.720572160685577
2,东营,1.5016705192211874,4.073106301661179,11.936911398939587,5.286475930682696,2.8100929365911727
43,榆林,1.8253668486720835,4.151072283952731,11.65851805162808,5.95270297562362,2.9366683641765436
15,吕梁,1.5110852461443047,4.098816058102946,10.57077292433584,5.9756075365807035,2.9564488786925125
37,抚顺,1.8317709776181763,3.9215822818039308,10.723039448434285,5.331849782906603,3.0488709613255356
59,营口,2.0717085303427765,3.7978286122029985,10.923343649473141,5.440512055529199,3.0611888233321363
41,本溪,1.8632134549885762,3.845848643715464,10.842050280376933,4.9751021635093835,3.0857789065161683
48,滨,2.227538592373576,3.7554741034899015,11.076982518080625,5.985194374398525,3.091063685122408
6,乌海,0.0014232523496478123,4.139233223465971,11.462749187247702,3.7841896339182606,3.12420713999584
27,宝鸡,2.07887996339333,4.073490658216185,11.031555397700007,5.931626306368999,3.152643646780473
38,晋中,2.052648598075857,3.8275542505240403,10.672931958189983,5.813073007878706,3.1898637989862313
54,石家庄,2.030560763953551,3.492478423947261,10.894612354111645,6.933951722973121,3.1943821590692156
52,盘锦,2.071593816300021,3.9687190244736996,11.393768710954149,4.866407215893762,3.269805822015744
53,石嘴山,1.7552133315672973,3.957011567041911,11.156565595548532,4.310783191442735,3.3349629736107134
