fips,city,primary_industry_gdp_share_pct,secondary_industry_gdp_share_pct,gdp_per_capita_cny,registered_population_10k,cov_distance
49,来宾,3.2045578040111136,3.396309556580827,10.348421368133316,5.596567172736194,0.17016565034887343
4,临沧,3.3325862401046145,3.322106176013585,10.297110628090923,5.485403186571504,0.34891637380461826
22,安顺,2.864838287520577,3.4472016163056716,10.54741722198446,5.723373989754471,0.8011700933242382
8,云浮,2.9283394379638827,3.5056149106340246,10.51729313912462,5.707595770265812,0.8738750347369068
86,贺,2.9642377414338337,3.5521669281698425,10.405711722624256,5.511153585218635,0.9198066770587612
29,崇左,3.0415574346818035,3.5037679163485844,10.619833643348699,5.528848120077546,0.9245304282892516
59,河池,3.0493242683197903,3.382801538743866,10.105805225650933,6.071891325624736,1.050175801682982
94,铜仁,3.0729998730133903,3.27839055008366,10.531917122792718,6.099711250838505,1.0542245957221263
87,资阳,2.8897051851716085,3.554198189063411,10.484242575076534,5.836777920756486,1.109483052848867
93,钦,2.994021615213579,3.532009266380204,10.612585010929443,6.033283155171792,1.2734051781386355
53,梅,2.9274476927866093,3.4435838771587566,10.22329362746557,6.302838906631547,1.3202135595423385
36,怀化,2.6263552787763604,3.3646536270270486,10.398293275126123,6.260092748097578,1.3678244894175051
54,梧,2.7325489501093596,3.60489014395502,10.447823001787809,5.866292022832549,1.3892831549903786
30,巴中,2.8457004494634757,3.5788543761748097,10.036724833964607,5.902958247823369,1.464244984072718
52,桂林,3.0785301828111478,3.2322518190229363,10.620720289836282,6.291722445478875,1.4679820570852447
65,清远,2.7479621449306597,3.5165652273836128,10.666013953593136,6.099892501498689,1.47740829197267
100,韶关,2.565704676774721,3.5206260015201436,10.719619936156187,5.820082930352362,1.507600589122492
12,内江,2.8189664033327007,3.6019461504186006,10.608452300848997,6.012920440803244,1.5365326340612337
5,丽江,2.6776863830718542,3.5363040716332557,10.43181028480029,4.813371038569094,1.5487132971012365
97,阳江,2.8963304943784647,3.549502020256044,10.856560440724216,5.706903293851588,1.5675824371558165
