fips,city,primary_industry_gdp_share_pct,secondary_industry_gdp_share_pct,gdp_per_capita_cny,registered_population_10k,cov_distance
83,衡阳,2.4481216860935717,3.4962194188476694,10.747429907098722,6.680415137133707,1.311631150594097
52,桂林,3.0785301828111478,3.2322518190229363,10.620720289836282,6.291722445478875,1.4125326963196525
78,茂名,2.8745148139828074,3.550287653513644,10.842136217652248,6.705782401026566,1.6333352688428977
37,怀化,2.6263552787763604,3.3646536270270486,10.398293275126123,6.260092748097578,1.6619951360516538
94,铜仁,3.0729998730133903,3.27839055008366,10.531917122792718,6.099711250838505,1.6880869485903065
65,清远,2.7479621449306597,3.5165652273836128,10.666013953593136,6.099892501498689,1.7870343989542827
66,湛江,2.937718357885344,3.551583320931529,10.651764224657382,6.749485087590676,1.8246295309865632
100,韶关,2.565704676774721,3.5206260015201436,10.719619936156187,5.820082930352362,1.9455551326056761
71,玉林,2.9205770656080032,3.3855045871321376,10.268359521381441,6.60185105373112,1.9945199891150835
10,信阳,2.9226227246522285,3.60127485586037,10.625055139282615,6.815319071768085,2.0393989002314927
90,邵阳,2.823094940187445,3.438931614597096,10.263872533040985,6.71585228273911,2.054706082612672
93,钦,2.994021615213579,3.532009266380204,10.612585010929443,6.033283155171792,2.065500297990363
88,达,2.9014855120162237,3.5505183222739722,10.43498819244715,6.492233352210137,2.0944428967045727
23,安顺,2.864838287520577,3.4472016163056716,10.54741722198446,5.723373989754471,2.1208660665050987
48,曲靖,2.870990764927848,3.636148708095139,10.62261008584853,6.502289756877754,2.152304007975879
55,毕节,3.128283679556086,3.3987311640496256,10.267820235422295,6.843358826978957,2.1648692013890707
74,绵阳,2.479110428108721,3.687198588337701,10.921193871299186,6.276973496939928,2.1682071392778854
75,肇庆,2.8417785151540684,3.6463040928283545,10.903779761727929,6.1162525130001075,2.1701360399942033
34,广安,2.7653896387038097,3.604240763749971,10.570513026412396,6.129436571894677,2.180682072909119
97,阳江,2.8963304943784647,3.549502020256044,10.856560440724216,5.706903293851588,2.1916720794141016
