file,city_folder,treated_city,treated_fips,t0,gan_ratio,n_real_donors,top_k_donors,n_gen,pre_rmspe,post_att_mean,out_dir
安庆_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,安庆,安庆,22,202044,2,20,20,40,2.032334255170619,-22.195999844260907,/root/data/no-heating-open copy/安庆
安庆_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,安庆,安庆,22,202044,3,20,20,60,3.240022109596867,-7.985741478528527,/root/data/no-heating-open copy/安庆
安庆_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,安庆,安庆,22,202044,4,20,20,80,3.168298212032706,-10.203128956437041,/root/data/no-heating-open copy/安庆
安庆_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,安庆,安庆,22,202044,5,20,20,100,2.2218778847159446,-8.954527802548506,/root/data/no-heating-open copy/安庆
安阳_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,安阳,安阳,22,202044,1,20,20,20,2.544555559983153,8.754078442505067,/root/data/no-heating-open copy/安阳
安阳_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,安阳,安阳,22,202044,2,20,20,40,2.5125737420732275,12.455176711570992,/root/data/no-heating-open copy/安阳
安阳_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,安阳,安阳,22,202044,3,20,20,60,2.734401485774192,18.829564908134294,/root/data/no-heating-open copy/安阳
安阳_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,安阳,安阳,22,202044,4,20,20,80,2.231223254619423,19.193920193481325,/root/data/no-heating-open copy/安阳
安阳_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,安阳,安阳,22,202044,5,20,20,100,2.612482874610615,17.30430715032709,/root/data/no-heating-open copy/安阳
宿州_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,宿州,宿,27,202044,1,20,20,20,2.850947244468721,-9.012008464443142,/root/data/no-heating-open copy/宿州
宿州_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,宿州,宿,27,202044,2,20,20,40,3.011030127058903,-12.89264486532421,/root/data/no-heating-open copy/宿州
宿州_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,宿州,宿,27,202044,3,20,20,60,2.956306271973637,-8.33393412564833,/root/data/no-heating-open copy/宿州
宿州_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,宿州,宿,27,202044,4,20,20,80,3.4854724460496467,-8.566103268514889,/root/data/no-heating-open copy/宿州
宿州_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,宿州,宿,27,202044,5,20,20,100,3.725312252270301,-9.414897007226086,/root/data/no-heating-open copy/宿州
常州_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,常州,常,31,202044,1,20,20,20,1.500828848702834,-109.98863064777825,/root/data/no-heating-open copy/常州
常州_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,常州,常,31,202044,2,20,20,40,1.5078026254212782,-104.71571491734409,/root/data/no-heating-open copy/常州
常州_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,常州,常,31,202044,3,20,20,60,2.001935704896079,-101.00886363328323,/root/data/no-heating-open copy/常州
常州_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,常州,常,31,202044,4,20,20,80,1.6277453844816878,-106.65574730243594,/root/data/no-heating-open copy/常州
常州_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,常州,常,31,202044,5,20,20,100,1.3622707111068606,-100.38560478939712,/root/data/no-heating-open copy/常州
常德_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,常德,常德,31,202044,1,20,20,20,1.8990325432797552,-19.012910060927243,/root/data/no-heating-open copy/常德
常德_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,常德,常德,31,202044,2,20,20,40,2.0352721009946166,-19.088147571405845,/root/data/no-heating-open copy/常德
常德_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,常德,常德,31,202044,3,20,20,60,2.1348407281158353,-13.730464575314258,/root/data/no-heating-open copy/常德
常德_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,常德,常德,31,202044,4,20,20,80,2.02270223989426,-18.175507261439076,/root/data/no-heating-open copy/常德
常德_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,常德,常德,31,202044,5,20,20,100,1.9453691107170101,-12.321291875799515,/root/data/no-heating-open copy/常德
广州_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,广州,广,34,202044,1,20,20,20,0.8877134016577497,-23.10997018489039,/root/data/no-heating-open copy/广州
广州_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,广州,广,34,202044,2,20,20,40,0.8031070447160582,-20.8193653150141,/root/data/no-heating-open copy/广州
广州_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,广州,广,34,202044,3,20,20,60,0.7707621539557827,-21.51392147532483,/root/data/no-heating-open copy/广州
广州_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,广州,广,34,202044,4,20,20,80,0.8892618135971165,-19.650479940522906,/root/data/no-heating-open copy/广州
广州_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,广州,广,34,202044,5,20,20,100,1.0357570147295352,-16.671252199315205,/root/data/no-heating-open copy/广州
开封_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,开封,开封,34,202044,1,20,20,20,2.677991685472556,-23.57639940444944,/root/data/no-heating-open copy/开封
