year_week,pm25_obs,pm25_cf,att,period
201801,140.08882662726185,139.34131,0.7475180335118523,pre
201802,164.1442382219868,165.38394,-1.2397034284038284,pre
201803,187.11221410535725,185.84727,1.264939325083816,pre
201804,129.3197005195951,131.27087,-1.9511735038423978,pre
201805,130.69420510552482,131.44585,-0.7516414520923718,pre
201806,138.45327769161628,139.62352,-1.1702422058446587,pre
201807,163.7582770710267,163.3844,0.37387765696419706,pre
201808,88.10246577686164,88.06281,0.0396529716858538,pre
201809,80.58109074090696,81.71943,-1.1383382752063227,pre
201810,85.45203690334729,85.733635,-0.281598045383177,pre
201811,86.5071047534602,87.45832,-0.9512158642155839,pre
201812,75.42339178373285,75.49697,-0.0735793466382404,pre
201813,78.24018348496868,78.783165,-0.5429814930586616,pre
201814,71.09763582245996,71.4429,-0.3452657888681614,pre
201815,59.08433228694577,61.376797,-2.292464435466343,pre
201816,54.27503651263317,52.38205,1.8929869520862965,pre
201817,55.10578042651713,56.104626,-0.9988452753871684,pre
201818,51.37394617638648,51.41753,-0.043583883427970704,pre
201819,56.12147208017036,55.278893,0.8425795630805197,pre
201820,50.63770846444142,50.770477,-0.13276883048045818,pre
201821,51.93402903854279,52.93066,-0.9966312092599452,pre
201822,51.19776381633395,51.619205,-0.42144165851956217,pre
201823,41.357599789553454,41.192425,0.1651750153835323,pre
201824,44.76790061903,47.615406,-2.8475054173469516,pre
201825,54.837827158396834,57.757504,-2.91967635112465,pre
201826,50.42422657804604,56.77859,-6.354364577959821,pre
201827,72.58394892240706,62.47834,10.10560877348128,pre
201828,47.514333929473054,45.985607,1.528726782256257,pre
201829,42.91429846230008,43.98614,-1.071842742533903,pre
201830,45.10832943866564,47.066162,-1.957832670709358,pre
201831,51.16922547707735,52.882732,-1.7135069142800745,pre
201832,49.01030519524936,45.44379,3.566514759458343,pre
201833,42.86425909319189,43.835987,-0.9717279978725628,pre
201834,46.786901104194776,44.15679,2.630109417183057,pre
201835,48.91201250191556,46.575245,2.336767598351109,pre
201836,28.44691396233404,34.18016,-5.733246560126897,pre
201837,37.89805072419097,37.86905,0.029001651925348426,pre
201838,40.23603067268339,39.103634,1.1323967920681568,pre
201839,33.041213168999334,35.086575,-2.045361385444025,pre
201840,36.99709002110957,34.8188,2.1782881412267585,pre
201841,48.38518021259254,48.442398,-0.05721785869652507,pre
201842,58.87367116149336,59.595272,-0.7216009027156218,pre
201843,56.31282206574672,55.16045,1.1523720840572693,pre
201844,54.24511101888165,55.101646,-0.8565354044581923,pre
201845,64.56353029192798,64.69618,-0.1326519590485873,pre
201846,70.66973894637297,72.02988,-1.3601377626114015,pre
201847,89.58887949266249,88.621666,0.9672135380726417,pre
201848,122.2996279260658,122.9042,-0.6045697668052981,pre
201849,96.6225321432139,98.21076,-1.5882298807118786,pre
201850,117.80774273588575,117.53667,0.2710758657685659,pre
201851,83.74177000640705,85.68716,-1.9453866708390422,pre
201852,95.0867991149842,96.0743,-0.9875035583556411,pre
201901,201.15545166168667,202.86017,-1.7047167953445808,pre
201902,223.51409136224927,224.77574,-1.2616502148991628,pre
201903,143.68330896163292,145.24254,-1.55922949051552,pre
201904,127.69248721959828,123.39593,4.296559790399058,pre
201905,96.62011025105338,96.519264,0.10084602986196955,pre
201906,112.7988108074766,113.92561,-1.1268025958437136,pre
201907,108.52598756854032,109.352455,-0.8264675706198403,pre
201908,106.81878854972516,107.87609,-1.057302453692813,pre
201909,89.75213059907308,90.18119,-0.4290598916495725,pre
201910,58.37297045593736,58.721546,-0.3485757171583401,pre
201911,50.28631009191069,50.58726,-0.3009511080404792,pre
201912,48.265691814490935,49.241264,-0.9755725287707833,pre
201913,49.83807877077405,47.9858,1.852277073996703,pre
201914,54.77322019940047,53.701466,1.0717545927110166,pre
201915,50.922126428818096,49.426937,1.4951893255466118,pre
201916,42.50406220271263,43.18102,-0.6769566266330713,pre
201917,39.90781364695664,41.201458,-1.2936443303382816,pre
201918,37.61982379695179,35.01974,2.6000827386021825,pre
201919,35.61877684200845,37.001156,-1.3823790112630334,pre
201920,39.332394348093445,39.397923,-0.06552816777569603,pre
201921,31.78608269977853,30.5551,1.2309832124738413,pre
201922,32.2701726141796,27.350687,4.919485587202061,pre
201923,30.22329269059188,29.932339,0.29095397599227013,pre
201924,30.55154473418961,30.268559,0.28298623199234285,pre
201925,35.71853278540423,34.55093,1.1676027622108691,pre
201926,32.70016925607327,32.154697,0.5454718378603829,pre
201927,28.940718004998708,29.451145,-0.510427167120433,pre
201928,29.68917860639309,33.29199,-3.6028097664096457,pre
201929,29.74766930754788,31.421753,-1.6740836221396194,pre
201930,29.920451194575858,29.226536,0.6939153974567169,pre
201931,29.907990315267018,27.993801,1.9141891983236583,pre
201932,31.20589114711881,30.482647,0.7232442049801371,pre
201933,31.094141840632147,33.176212,-2.082070470158868,pre
201934,32.54643746339357,34.331627,-1.7851894286962704,pre
201935,33.27929599510652,32.902126,0.37716968285066343,pre
201936,31.876075156304783,29.823284,2.0527910071348607,pre
201937,35.2885374806193,33.7745,1.5140356800821877,pre
201938,37.30057456768602,35.797676,1.5028984812602388,pre
201939,32.823148906109004,33.187977,-0.36482793104919864,pre
201940,31.58429583177708,31.768076,-0.18378011121608395,pre
201941,38.97180219428502,39.188457,-0.2166552947286533,pre
201942,42.168501374928944,42.332478,-0.16397619465113422,pre
201943,44.11916091162696,44.262585,-0.1434237746523337,pre
201944,53.507736512390544,53.402344,0.10539276239054374,pre
201945,56.115959631349085,55.997395,0.11856506958150703,pre
