fips,city,primary_industry_gdp_share_pct,secondary_industry_gdp_share_pct,gdp_per_capita_cny,registered_population_10k,cov_distance
54,石家庄,2.030560763953551,3.492478423947261,10.894612354111645,6.933951722973121,0.7476891947973074
57,聊城,2.52393728879193,3.676542862035566,10.654685381101155,6.471477087830584,1.0586308793493497
30,廊坊,1.8789257504140544,3.513706284679989,11.065774586675374,6.180387036252132,1.0744002446368295
47,滨,2.227538592373576,3.7554741034899015,11.076982518080625,5.985194374398525,1.0770364820200096
58,菏泽,2.2741439563484334,3.798804365401014,10.538142285589421,6.933220597738123,1.1123025258757517
45,沈阳,1.4733026550975596,3.550220815678473,11.243913878596894,6.625067044727913,1.1491025750791435
70,邯郸,2.2722577418642147,3.792201111751831,10.519999871758474,6.965965510299844,1.1519564963509847
18,咸阳,2.608937203370573,3.8922722753230037,10.880671670372312,6.127450946452837,1.2046058965564446
13,吉林,2.3027833213440183,3.5620464491847135,10.610977925553593,6.0191647059804305,1.4586020031944145
79,鞍山,1.781456336861012,3.727814436459011,10.802884594466056,5.827993543221986,1.470867413490437
26,宝鸡,2.07887996339333,4.073490658216185,11.031555397700007,5.931626306368999,1.4858564962753773
44,汉中,2.7012305653772475,3.7770051226118166,10.722542357139979,5.942415242429604,1.4982432860277262
9,保定,2.4736953563032356,3.607508824823209,10.381353702694131,7.099611587843825,1.5357265421740263
37,晋中,2.052648598075857,3.8275542505240403,10.672931958189983,5.813073007878706,1.5494886302190107
55,秦皇岛,2.5614968922714656,3.4939736296871793,10.867083193724405,5.705446774625853,1.6843306247694765
69,邢台,2.5818604605864492,3.6697974825592787,10.292659688323013,6.683907370336238,1.6958739126490765
46,渭南,2.892078794878504,3.64053557830359,10.470303512718338,6.297708440610259,1.698845313735116
61,衡水,2.6403266100839415,3.555789405926128,10.463384521727594,6.12564024633766,1.7028787900974727
24,安康,2.4925810638663566,3.8615762834597387,10.67780884747732,5.716063888320748,1.7113171859011633
59,营口,2.0717085303427765,3.7978286122029985,10.923343649473141,5.440512055529199,1.80432227721231
