file,city_folder,treated_city,treated_fips,t0,gan_ratio,n_real_donors,n_gen,pre_rmspe,post_att_mean,out_dir
临汾_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,临汾,临汾,4,202044,1,82,82,1.3570878223739482,7.691005699823826,/root/data/treatedpass-heating-open/临汾
临汾_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,临汾,临汾,4,202044,2,82,164,1.7016278426008766,7.435359255823852,/root/data/treatedpass-heating-open/临汾
临汾_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,临汾,临汾,4,202044,3,82,246,1.9691451194143015,0.09658527521898747,/root/data/treatedpass-heating-open/临汾
临汾_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,临汾,临汾,4,202044,4,82,328,1.940386169510784,6.426398886409919,/root/data/treatedpass-heating-open/临汾
临汾_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,临汾,临汾,4,202044,5,82,410,2.2776156146290663,9.462605427218131,/root/data/treatedpass-heating-open/临汾
临沂_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,临沂,临沂,4,202044,1,82,82,1.222210948351297,17.144148181349113,/root/data/treatedpass-heating-open/临沂
临沂_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,临沂,临沂,4,202044,2,82,164,0.9073804253917302,22.58164738802712,/root/data/treatedpass-heating-open/临沂
临沂_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,临沂,临沂,4,202044,3,82,246,1.1696213646658498,18.505533830633546,/root/data/treatedpass-heating-open/临沂
临沂_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,临沂,临沂,4,202044,4,82,328,1.1547092084537645,22.32271599174529,/root/data/treatedpass-heating-open/临沂
临沂_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,临沂,临沂,4,202044,5,82,410,1.1385563396655993,22.554304469327295,/root/data/treatedpass-heating-open/临沂
乌鲁木齐_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,乌鲁木齐,乌鲁木齐,7,202044,1,82,82,1.6426855526387543,-25.437047506879523,/root/data/treatedpass-heating-open/乌鲁木齐
乌鲁木齐_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,乌鲁木齐,乌鲁木齐,7,202044,2,82,164,2.521154528218315,-22.405282320198367,/root/data/treatedpass-heating-open/乌鲁木齐
乌鲁木齐_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,乌鲁木齐,乌鲁木齐,7,202044,3,82,246,1.6902236883185746,-21.045754985495616,/root/data/treatedpass-heating-open/乌鲁木齐
乌鲁木齐_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,乌鲁木齐,乌鲁木齐,7,202044,4,82,328,2.2358129516573224,-18.77963056397926,/root/data/treatedpass-heating-open/乌鲁木齐
乌鲁木齐_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,乌鲁木齐,乌鲁木齐,7,202044,5,82,410,1.791096574566676,-10.341507266076924,/root/data/treatedpass-heating-open/乌鲁木齐
兰州_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,兰州,兰,11,202044,1,82,82,0.7228811860633637,7.469324092336624,/root/data/treatedpass-heating-open/兰州
兰州_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,兰州,兰,11,202044,2,82,164,1.0035643714210025,6.11652924256953,/root/data/treatedpass-heating-open/兰州
兰州_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,兰州,兰,11,202044,3,82,246,0.7890076269936737,3.8884342976578097,/root/data/treatedpass-heating-open/兰州
兰州_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,兰州,兰,11,202044,4,82,328,0.8330728944699124,6.324114467632618,/root/data/treatedpass-heating-open/兰州
兰州_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,兰州,兰,11,202044,5,82,410,1.051565534136371,8.659731980360878,/root/data/treatedpass-heating-open/兰州
北京_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,北京,北京,12,202044,1,82,82,0.905899052142974,-5.796375674301463,/root/data/treatedpass-heating-open/北京
北京_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,北京,北京,12,202044,2,82,164,1.0211772312527532,-6.76888779288575,/root/data/treatedpass-heating-open/北京
北京_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,北京,北京,12,202044,3,82,246,1.0423398692411854,-9.755979397472998,/root/data/treatedpass-heating-open/北京
北京_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,北京,北京,12,202044,4,82,328,1.2532584919083338,-5.699374556358856,/root/data/treatedpass-heating-open/北京
北京_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,北京,北京,12,202044,5,82,410,1.415816527614233,-3.158123466638255,/root/data/treatedpass-heating-open/北京
呼和浩特_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,呼和浩特,呼和浩特,18,202044,1,82,82,0.8697293691197494,-23.86554854116054,/root/data/treatedpass-heating-open/呼和浩特
呼和浩特_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,呼和浩特,呼和浩特,18,202044,2,82,164,1.0691834221891592,-22.44907253621399,/root/data/treatedpass-heating-open/呼和浩特
呼和浩特_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,呼和浩特,呼和浩特,18,202044,3,82,246,1.0742388163499919,-23.85589068979789,/root/data/treatedpass-heating-open/呼和浩特
呼和浩特_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,呼和浩特,呼和浩特,18,202044,4,82,328,1.1667822100431822,-20.475613393714724,/root/data/treatedpass-heating-open/呼和浩特
呼和浩特_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,呼和浩特,呼和浩特,18,202044,5,82,410,1.008431659821139,-20.404587866030692,/root/data/treatedpass-heating-open/呼和浩特
哈尔滨_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,哈尔滨,哈尔滨,20,202044,1,82,82,1.4514160766041264,-7.699873655477052,/root/data/treatedpass-heating-open/哈尔滨
哈尔滨_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,哈尔滨,哈尔滨,20,202044,2,82,164,1.153004113976155,-1.9277650710983794,/root/data/treatedpass-heating-open/哈尔滨
哈尔滨_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,哈尔滨,哈尔滨,20,202044,3,82,246,0.8729277957976814,-5.193465099104333,/root/data/treatedpass-heating-open/哈尔滨
哈尔滨_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,哈尔滨,哈尔滨,20,202044,4,82,328,1.1215137616917839,-2.3601003085845518,/root/data/treatedpass-heating-open/哈尔滨
哈尔滨_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,哈尔滨,哈尔滨,20,202044,5,82,410,1.0610188408863397,-0.05180750612834589,/root/data/treatedpass-heating-open/哈尔滨
唐山_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,唐山,唐山,20,202044,1,82,82,1.186156622085458,-16.340064007900146,/root/data/treatedpass-heating-open/唐山
唐山_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,唐山,唐山,20,202044,2,82,164,1.2002807057553493,-15.888010431456044,/root/data/treatedpass-heating-open/唐山
唐山_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,唐山,唐山,20,202044,3,82,246,1.2644716508688547,-16.22874503142191,/root/data/treatedpass-heating-open/唐山
唐山_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,唐山,唐山,20,202044,4,82,328,1.3818304330128726,-9.305496098997008,/root/data/treatedpass-heating-open/唐山
唐山_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,唐山,唐山,20,202044,5,82,410,2.064889276456406,-2.886741977098458,/root/data/treatedpass-heating-open/唐山
大同_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,大同,大同,24,202044,1,82,82,0.576176901087043,-39.67807988345411,/root/data/treatedpass-heating-open/大同
大同_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,大同,大同,24,202044,2,82,164,0.8302069773397783,-38.97832781852134,/root/data/treatedpass-heating-open/大同
大同_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,大同,大同,24,202044,3,82,246,0.923137731258895,-40.4904355494881,/root/data/treatedpass-heating-open/大同
大同_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,大同,大同,24,202044,4,82,328,0.7776215052633775,-33.39159846501328,/root/data/treatedpass-heating-open/大同
大同_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,大同,大同,24,202044,5,82,410,0.8040569199556735,-26.427058658613554,/root/data/treatedpass-heating-open/大同
