city,count,mean,std,min,max
安阳,147,68.0816849129557,41.48941649096255,26.503832464587656,203.15954462815768
临汾,147,61.311464123148795,38.994324809290475,23.476388903699107,223.51409136224927
咸阳,260,59.72153848058078,38.71298163387394,20.08276503601808,231.05348024813333
邯郸,260,59.39176565115159,31.596245281504505,20.777012842898618,193.10372180814915
开封,147,59.28630299099946,35.45043453942472,21.217336339891908,175.80287773168442
濮阳,260,58.94924657023651,33.377538048042815,21.517002878104417,188.04403285429697
许昌,147,58.6951902520625,37.139819358811216,22.82011799603949,191.5687248194528
漯河,147,58.19602928776252,36.055160407073096,19.826740589688576,162.29604618765876
石家庄,260,58.15802774208254,30.535039388526684,21.94939950704872,200.55491691118195
襄阳,147,58.00526073648445,37.737334662440595,22.24069241199323,244.87221017596835
郑,147,57.913095936079,33.95193184988663,20.74835458386585,177.87140938614175
洛阳,147,57.74748617030506,31.475169411990926,21.646355530951706,151.67076675863777
焦作,260,57.69063268713289,28.932866920744466,19.54291859370062,184.099519164864
太原,147,57.48116903399812,23.270998707405372,29.847087950955544,139.43387169033787
邢台,260,57.21290933222548,32.326365592896764,21.825535770332685,171.81721792275565
枣庄,147,57.037208786049625,26.532509558721515,25.39612777624516,138.47863296760832
徐,147,56.98294755094421,29.472965845933782,24.13802725476896,163.9997329683758
西安,147,56.927656559172355,39.38104626146165,21.12304529235232,219.0749344570069
运城,260,56.89008120668562,32.77318793789708,21.719636799246253,194.022753942694
鹤壁,260,56.44541858015134,27.113987707165183,24.736494336461448,155.79735131177023
南阳,147,56.37400822306698,38.83925933906557,21.26405449937355,176.29962887450623
唐山,147,56.318296275112765,19.165487342069923,29.1299699755704,127.3439119894618
商丘,147,55.82869376429348,31.82358697341679,20.382098385152904,148.60024254182406
淄博,147,55.70524651533398,23.340924194073718,27.36668903401939,132.46621644084794
平顶山,260,55.126397850486164,29.691790411859696,19.06127144932676,189.9026702653567
菏泽,260,54.85045537795368,29.436440346340806,19.69171298003995,160.84653220137457
吐鲁番,260,54.55702800455271,28.465584324754616,16.889249601584826,151.3584618959741
渭南,260,54.34661598259964,33.212553476102606,16.650518852625982,208.34342343439377
新乡,260,54.16531898794899,26.58510869083867,18.24172910024856,180.4377347051048
聊城,260,54.036252144327456,26.80042477608169,19.86605618197675,149.17708237698355
保定,260,53.4674715048619,28.420593786215793,17.001948091402223,164.72785623862632
济南,147,53.408059041093004,24.08509696293162,25.248170099494025,124.61192209791284
阳泉,147,53.106875869384645,22.37331296490551,25.50958479056916,125.9834633545535
德,147,52.76705629970975,27.72587490711784,21.843100009657068,122.66618303472018
衡水,260,52.682024072910856,26.8357308041498,17.32123078869108,162.9108344364509
泰安,147,52.60364790367276,26.601736957874312,23.52270519466975,146.6872909388431
驻马店,147,52.43978944327037,28.039015594814263,18.00411163648954,135.78748365854082
沧,147,51.855796045024476,23.789361622365178,20.01031027154531,115.6386817177731
周口,260,51.720846457472796,31.155807785183946,15.706552622865182,162.91076469292148
潍坊,147,51.69640773900633,23.51154572978455,21.707631128231423,128.27837716951086
三门峡,260,51.69518985558182,28.171481804305806,19.09961947664131,177.03593344658898
临沂,147,51.588304230789355,27.125331659015213,19.65449565095412,135.54194856270155
济宁,147,51.574024198012616,23.1260445424565,22.09585637251196,130.0155010321935
淮南,147,51.40597993552911,24.474555847690727,21.444415962722065,118.11288005790026
天津,147,51.10582235252868,16.992335617729676,29.35780845932962,105.74482416233292
宿,147,50.81713100060467,25.32185525232129,14.295591358163682,121.62878967609984
阜阳,147,50.58014950458692,30.161111740620452,11.97887728151231,138.06880018479484
荆门,260,49.89945499744116,30.600065986863548,16.23466486258093,163.02999444012417
淮北,260,49.798494786590865,25.434266417418968,18.04570987063269,132.64365897022188
乌鲁木齐,147,49.62641279017361,42.38748963889057,14.71273543237926,170.7645019521486
滨,260,48.798494477192236,20.882263584138485,20.301167527458365,132.51861652436742
蚌埠,147,48.61379731719782,22.645367086025484,20.983738327826064,109.69094134872869
亳,260,48.57516934112816,27.756349526938163,12.178349291111951,137.47267251787866
宝鸡,260,48.209465893996885,28.891803540158,16.96917721858177,198.2602097468603
北京,147,46.092683768354895,14.417267638616092,23.358324006341817,83.09885952054874
晋中,260,46.05630669521972,18.30286852006926,22.97186905046681,126.64243554995171
常,147,45.99900818997272,18.247525683887197,21.884216705694083,106.096023308304
宜宾,260,45.450693208088786,23.186423956290525,17.938385203155782,122.26094036707424
自贡,260,45.15120865058803,24.283935709093278,14.403494135344069,138.52391897446768
宿迁,260,45.052361970256904,22.355404152365974,18.39524105817789,128.22380655119534
宜昌,260,45.035781375100264,30.195103102866966,14.952061409294382,169.35427612014044
滁,147,45.021940949736766,21.16821853006212,18.952488667115663,113.2687480672314
淮安,147,44.93494126922811,20.06325207075764,18.88096784197925,114.08939689267817
信阳,260,44.91928913228066,26.098898719704316,14.582310472431992,138.3196381916716
锦,260,44.560707578048664,17.333814017649363,19.99328455778422,95.16204911025862
湘潭,147,44.463823622868624,23.813487920286697,17.314254609166866,156.37056719112397
长沙,147,44.19101627792168,22.04872887610611,19.137700749516487,145.1190371309916
忻,260,44.15190044553561,22.959948768821025,17.89432439040337,144.29825812312535
铜川,260,44.04173025943483,23.05883459546104,15.151147349325496,145.4760174736182
成都,147,44.00862635290605,21.041777210994468,19.725536792403062,116.96715327965076
廊坊,260,43.69936646022908,16.6894692887155,20.410116311500097,117.325573638956
东营,260,43.471089287547585,18.353177673069624,17.556887214370693,106.71325781987233
铜陵,147,43.16511526229577,19.310137033150998,18.573316770692667,106.16769034122288
汉中,260,42.947372033314494,29.174214967186668,12.710502760337947,145.08409817661558
武汉,147,42.87688313163097,20.896918565331262,19.32956523284121,120.59818987311068
株洲,147,42.61461231214305,20.914943863757973,18.347751833454485,124.2154893480596
扬,147,42.58501347410349,18.583324618764532,16.125303882587524,94.1670673109974
哈尔滨,147,42.53276360769056,32.881160610005495,13.214654401391746,156.70241777578408
镇江,260,42.466660269880265,18.23072883521038,18.130557379302168,121.85883028389158
常德,147,42.20552212903463,21.63965985598829,17.44563300713755,126.6710829991684
葫芦岛,260,41.9137459756472,17.185392191708715,17.207648299510634,106.6221120701546
抚顺,260,41.57011875275975,20.153977562543563,15.13458401358203,108.46011697573888
荆,260,41.52784237227419,20.817034757290678,17.331847801940782,106.25391511567436
日照,147,41.41913944873253,20.069597228120607,17.011057223530287,108.54143133702732
安庆,147,41.035777014094286,21.74503539471591,16.816066294072993,120.45475616977328
乐山,260,40.66251064759918,20.729008347598715,16.487577690057623,109.22262115178788
达,260,40.51174110345714,23.35367550882944,12.595697178998204,132.85919331023274
鞍山,260,40.50449610048569,16.950709675964166,19.348552133029063,116.10577077093564
兰,147,40.499565809738066,17.59185958385852,18.134401824826288,98.8442058296432
连云港,147,40.47735855221523,17.94916206910573,16.362100950523967,92.09444426527476
石嘴山,260,40.36857349306641,18.206846298987994,17.788507597400674,182.49240070788065
六安,147,40.19935437167284,19.528153503283676,13.71797738890667,94.70423550387792
邵阳,260,40.16652704310999,17.278756472095473,15.79003509994348,116.33103532673064
孝感,260,40.03569159699199,20.703957524437364,14.056236505140909,129.6562893076624
沈阳,260,39.81239821504533,18.233245846234468,16.272533613505015,96.41572936090115
芜湖,260,39.67242893058824,20.62259811782714,16.905054819295493,139.11067895800727
泰,260,39.60283949969394,16.177170562224976,18.38804432659408,99.25064285823542
武威,260,39.486513228502126,25.662314123525675,17.89913825921906,355.12194204803035
岳阳,260,39.44779761318757,17.163796630565034,16.00442426475173,105.61857756028856
辽阳,260,39.311631653954336,19.518964924358137,16.8986711919111,118.47880313210254
呼和浩特,147,39.275714305266334,26.19438930224606,14.645201144987098,169.0350307233447
马鞍山,260,39.22190685507398,17.991043434255026,18.40986291104109,114.26859877384275
