file,city_folder,treated_city,treated_fips,t0,gan_ratio,n_real_donors,top_k_donors,n_gen,pre_rmspe,post_att_mean,out_dir
临汾_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,临汾,临汾,4,202044,1,20,20,20,2.7893605551974305,-31.42647016428275,/root/data/treatedpass-heating-open/临汾
临汾_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,临汾,临汾,4,202044,2,20,20,40,2.81128060999636,-21.917674046280727,/root/data/treatedpass-heating-open/临汾
临汾_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,临汾,临汾,4,202044,3,20,20,60,2.7606734409651135,-19.425746013211555,/root/data/treatedpass-heating-open/临汾
临汾_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,临汾,临汾,4,202044,4,20,20,80,2.4954918921878435,-3.0617176901983845,/root/data/treatedpass-heating-open/临汾
临汾_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,临汾,临汾,4,202044,5,20,20,100,2.8753193808780657,6.529845222329055,/root/data/treatedpass-heating-open/临汾
临沂_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,临沂,临沂,4,202044,1,20,20,20,3.201033506359121,-13.388166093869208,/root/data/treatedpass-heating-open/临沂
临沂_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,临沂,临沂,4,202044,2,20,20,40,2.610681711594137,2.2448479014786176,/root/data/treatedpass-heating-open/临沂
临沂_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,临沂,临沂,4,202044,3,20,20,60,4.11249263391793,10.042547690508979,/root/data/treatedpass-heating-open/临沂
临沂_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,临沂,临沂,4,202044,4,20,20,80,2.789471112115735,8.194642020916858,/root/data/treatedpass-heating-open/临沂
临沂_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,临沂,临沂,4,202044,5,20,20,100,2.685032001315176,19.043593759409433,/root/data/treatedpass-heating-open/临沂
乌鲁木齐_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,乌鲁木齐,乌鲁木齐,7,202044,1,20,20,20,5.958116644516649,-72.26019915439663,/root/data/treatedpass-heating-open/乌鲁木齐
乌鲁木齐_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,乌鲁木齐,乌鲁木齐,7,202044,2,20,20,40,5.728971032752384,-61.14234192183865,/root/data/treatedpass-heating-open/乌鲁木齐
乌鲁木齐_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,乌鲁木齐,乌鲁木齐,7,202044,3,20,20,60,6.30008070599428,-46.621715313589284,/root/data/treatedpass-heating-open/乌鲁木齐
乌鲁木齐_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,乌鲁木齐,乌鲁木齐,7,202044,4,20,20,80,6.5390427905722595,-50.3520663143498,/root/data/treatedpass-heating-open/乌鲁木齐
乌鲁木齐_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,乌鲁木齐,乌鲁木齐,7,202044,5,20,20,100,6.7837504795673595,-32.233718572488534,/root/data/treatedpass-heating-open/乌鲁木齐
兰州_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,兰州,兰,11,202044,1,20,20,20,2.3857154300437933,-11.717116248903913,/root/data/treatedpass-heating-open/兰州
兰州_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,兰州,兰,11,202044,2,20,20,40,1.901128944430926,-14.472351600196344,/root/data/treatedpass-heating-open/兰州
兰州_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,兰州,兰,11,202044,3,20,20,60,1.8815725570496977,-6.031322549487474,/root/data/treatedpass-heating-open/兰州
兰州_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,兰州,兰,11,202044,4,20,20,80,2.6268707344011673,-1.6238329247888679,/root/data/treatedpass-heating-open/兰州
兰州_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,兰州,兰,11,202044,5,20,20,100,2.094006615324964,-0.13437627541369498,/root/data/treatedpass-heating-open/兰州
北京_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,北京,北京,12,202044,1,20,20,20,2.4293935816330525,-14.024147787797684,/root/data/treatedpass-heating-open/北京
北京_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,北京,北京,12,202044,2,20,20,40,2.220802767922455,-7.996570716734399,/root/data/treatedpass-heating-open/北京
北京_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,北京,北京,12,202044,3,20,20,60,2.1745550497249284,-1.927056551851975,/root/data/treatedpass-heating-open/北京
北京_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,北京,北京,12,202044,4,20,20,80,2.642853094738692,0.5921079386368031,/root/data/treatedpass-heating-open/北京
北京_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,北京,北京,12,202044,5,20,20,100,2.4771085299843465,-1.713168662023673,/root/data/treatedpass-heating-open/北京
呼和浩特_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,呼和浩特,呼和浩特,18,202044,1,20,20,20,2.6320899998686245,-29.861180898462504,/root/data/treatedpass-heating-open/呼和浩特
呼和浩特_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,呼和浩特,呼和浩特,18,202044,2,20,20,40,2.600594654938068,-17.264186920417878,/root/data/treatedpass-heating-open/呼和浩特
呼和浩特_panel_vs_controls_weekly_2018_2022_with_year_week_fips_with_cov.csv,呼和浩特,呼和浩特,18,202044,3,20,20,60,2.6240340901328163,-17.008916173460992,/root/data/treatedpass-heating-open/呼和浩特
